iter	Kappa	MultiClass
817	0.5509727521	0.5417073785
818	0.5511872427	0.541583704
819	0.5515650906	0.5415016606
820	0.5513643554	0.5414410918
821	0.5519308602	0.5413794249
822	0.5517459581	0.5413026612
823	0.552434069	0.5412227256
824	0.552164768	0.5411717249
825	0.5524528874	0.5410984444
826	0.5524197592	0.5410005438
827	0.5520035551	0.5409315335
828	0.5521903973	0.5408809406
829	0.5524784959	0.5407936543
830	0.5526720294	0.5406802879
831	0.5525025987	0.5406120846
832	0.5524141178	0.5405067149
833	0.5524141178	0.54040128
834	0.5526359183	0.5403020194
835	0.5526106604	0.5402376541
836	0.5524969462	0.5401620673
837	0.55222623	0.5400702735
838	0.5531293366	0.5399572009
839	0.5531942302	0.539847093
840	0.553266889	0.5397472448
